,company,title,meanPay,City,low_sal,high_sal,sal_avg,entry_bin,mid_bin,senior_bin
0,careerbuilder,Data Scientist,86172,atlanta,86172,86172,86172,0,1,0
1,ncr,Data Scientist,86000 - 94000,atlanta,86000,94000,90000,0,1,0
2,the home depot,Data Scientist,90000 - 104000,atlanta,90000,104000,97000,0,1,0
3,feedzai,Data Scientist,86000 - 94000,atlanta,86000,94000,90000,0,1,0
4,ibm,Data Scientist,102000 - 111000,atlanta,102000,111000,106500,0,1,0
5,booz allen hamilton,Data Scientist,71000 - 78000,atlanta,71000,78000,74500,0,1,0
6,pwc,Data Scientist,94000 - 104000,atlanta,94000,104000,99000,0,1,0
7,cognizant technology solutions,Data Scientist,87000 - 95000,atlanta,87000,95000,91000,0,1,0
8,rang technologies,Data Scientist,96000 - 106000,atlanta,96000,106000,101000,0,1,0
9,kpmg,Data Scientist,90000 - 97000,atlanta,90000,97000,93500,0,1,0
10,gallup,Data Scientist,81000 - 89000,atlanta,81000,89000,85000,0,1,0
11,hewlett packard enterprise | hpe,Data Scientist,91000 - 99000,atlanta,91000,99000,95000,0,1,0
12,verizon,Data Scientist,104000 - 112000,atlanta,104000,112000,108000,0,1,0
13,verizon wireless,Data Scientist,96000 - 104000,atlanta,96000,104000,100000,0,1,0
14,fractal analytics,Data Scientist,81000 - 89000,atlanta,81000,89000,85000,0,1,0
15,equifax,Data Scientist,90000 - 97000,atlanta,90000,97000,93500,0,1,0
16,northrop grumman,Data Scientist,92000 - 100000,atlanta,92000,100000,96000,0,1,0
17,adp,Data Scientist,85000 - 93000,atlanta,85000,93000,89000,0,1,0
18,kabbage,Data Scientist,89000 - 97000,atlanta,89000,97000,93000,0,1,0
19,citi,Data Scientist,90000 - 100000,atlanta,90000,100000,95000,0,1,0
20,honeywell,Data Scientist,97000 - 104000,atlanta,97000,104000,100500,0,1,0
21,at&t,Data Scientist,105000 - 112000,atlanta,105000,112000,108500,0,1,0
22,intuitive surgical,Data Scientist,107000 - 115000,atlanta,107000,115000,111000,0,1,0
23,hearst,Data Scientist,92000 - 99000,atlanta,92000,99000,95500,0,1,0
24,cox enterprises,Data Scientist,92000 - 101000,atlanta,92000,101000,96500,0,1,0
25,macy's,Data Scientist,86000 - 93000,atlanta,86000,93000,89500,0,1,0
26,bank of america,Data Scientist,92000 - 100000,atlanta,92000,100000,96000,0,1,0
27,ibm,Entry Level Data Scientist,89000 - 96000,atlanta,89000,96000,92500,0,1,0
28,ibm,Senior Data Scientist,115000 - 123000,atlanta,115000,123000,119000,0,0,1
29,kpmg,Senior Data Scientist,101000 - 108000,atlanta,101000,108000,104500,0,0,1
30,verizon,Senior Data Scientist,118000 - 127000,atlanta,118000,127000,122500,0,0,1
31,at&t,Senior Data Scientist,117000 - 127000,atlanta,117000,127000,122000,0,0,1
32,exponent,Senior Data Scientist,91000 - 99000,atlanta,91000,99000,95000,0,0,1
33,razorfish,Senior Data Scientist,115000 - 126000,atlanta,115000,126000,120500,0,0,1
34,market strategies international,Senior Data Scientist,90000 - 97000,atlanta,90000,97000,93500,0,0,1
35,ge,Senior Data Scientist,121000 - 131000,atlanta,121000,131000,126000,0,0,1
36,experian,Senior Data Scientist,121000 - 130000,atlanta,121000,130000,125500,0,0,1
37,verizon wireless,Senior Data Scientist,108000 - 116000,atlanta,108000,116000,112000,0,0,1
38,verizon wireless,Junior Data Scientist,83000 - 90000,atlanta,83000,90000,86500,1,0,0
39,verizon,Junior Data Scientist,89000 - 97000,atlanta,89000,97000,93000,1,0,0
40,think big,Principal Data Scientist,132000 - 140000,atlanta,132000,140000,136000,0,0,1
41,at&t,Principal Data Scientist,130000 - 141000,atlanta,130000,141000,135500,0,0,1
42,think big,Principal Data Scientist,130000 - 142000,atlanta,130000,142000,136000,0,0,1
43,at&t,Principal Data Scientist,132000 - 141000,atlanta,132000,141000,136500,0,0,1
44,think big,Principal Data Scientist,130000 - 142000,atlanta,130000,142000,136000,0,0,1
45,at&t,Principal Data Scientist,129000 - 141000,atlanta,129000,141000,135000,0,0,1
46,think big,Principal Data Scientist,129000 - 140000,atlanta,129000,140000,134500,0,0,1
47,at&t,Principal Data Scientist,132000 - 141000,atlanta,132000,141000,136500,0,0,1
48,square root,Data Scientist,66940,austin,66940,66940,66940,0,1,0
49,adometry,Data Scientist,76054,austin,76054,76054,76054,0,1,0
50,vast,Data Scientist,109000 - 126000,austin,109000,126000,117500,0,1,0
51,facebook,Data Scientist,164000 - 177000,austin,164000,177000,170500,0,1,0
52,apple,Data Scientist,107000 - 116000,austin,107000,116000,111500,0,1,0
53,ibm,Data Scientist,114000 - 123000,austin,114000,123000,118500,0,1,0
54,pwc,Data Scientist,107000 - 115000,austin,107000,115000,111000,0,1,0
55,gallup,Data Scientist,91000 - 99000,austin,91000,99000,95000,0,1,0
56,amazon.com,Data Scientist,130000 - 143000,austin,130000,143000,136500,0,1,0
57,ebay,Data Scientist,115000 - 125000,austin,115000,125000,120000,0,1,0
58,visa inc.,Data Scientist,113000 - 123000,austin,113000,123000,118000,0,1,0
59,ntt data,Data Scientist,107000 - 118000,austin,107000,118000,112500,0,1,0
60,zynga,Data Scientist,119000 - 130000,austin,119000,130000,124500,0,1,0
61,general motors,Data Scientist,122000 - 133000,austin,122000,133000,127500,0,1,0
62,the advisory board company,Data Scientist,94000 - 102000,austin,94000,102000,98000,0,1,0
63,adometry,Senior Data Scientist,92000 - 107000,austin,92000,107000,99500,0,0,1
64,clockwork solutions,Principal Data Scientist,95000 - 111000,austin,95000,111000,103000,0,0,1
65,ibm,Entry Level Data Scientist,99000 - 108000,austin,99000,108000,103500,0,1,0
66,the advisory board company,Senior Data Scientist,99000 - 107000,austin,99000,107000,103000,0,0,1
67,ibm,Senior Data Scientist,127000 - 138000,austin,127000,138000,132500,0,0,1
68,kpmg,Senior Data Scientist,112000 - 123000,austin,112000,123000,117500,0,0,1
69,intel corporation,Senior Data Scientist,134000 - 145000,austin,134000,145000,139500,0,0,1
70,amazon.com,Senior Data Scientist,147000 - 161000,austin,147000,161000,154000,0,0,1
71,maxpoint,Senior Data Scientist,97000 - 105000,austin,97000,105000,101000,0,0,1
72,general motors,Senior Data Scientist,138000 - 150000,austin,138000,150000,144000,0,0,1
73,dell,Junior Data Scientist,96000 - 103000,austin,96000,103000,99500,1,0,0
74,kpmg,Senior Data Scientist,113000 - 123000,austin,113000,123000,118000,0,0,1
75,intel corporation,Senior Data Scientist,135000 - 144000,austin,135000,144000,139500,0,0,1
76,amazon.com,Senior Data Scientist,147000 - 161000,austin,147000,161000,154000,0,0,1
77,maxpoint,Senior Data Scientist,97000 - 104000,austin,97000,104000,100500,0,0,1
78,general motors,Senior Data Scientist,139000 - 148000,austin,139000,148000,143500,0,0,1
79,dell,Junior Data Scientist,95000 - 103000,austin,95000,103000,99000,1,0,0
80,kpmg,Senior Data Scientist,113000 - 123000,austin,113000,123000,118000,0,0,1
81,intel corporation,Senior Data Scientist,134000 - 145000,austin,134000,145000,139500,0,0,1
82,amazon.com,Senior Data Scientist,148000 - 159000,austin,148000,159000,153500,0,0,1
83,maxpoint,Senior Data Scientist,97000 - 105000,austin,97000,105000,101000,0,0,1
84,general motors,Senior Data Scientist,137000 - 150000,austin,137000,150000,143500,0,0,1
85,dell,Junior Data Scientist,95000 - 103000,austin,95000,103000,99000,1,0,0
86,kpmg,Senior Data Scientist,114000 - 122000,austin,114000,122000,118000,0,0,1
87,intel corporation,Senior Data Scientist,133000 - 145000,austin,133000,145000,139000,0,0,1
88,amazon.com,Senior Data Scientist,149000 - 161000,austin,149000,161000,155000,0,0,1
89,maxpoint,Senior Data Scientist,97000 - 106000,austin,97000,106000,101500,0,0,1
90,general motors,Senior Data Scientist,139000 - 149000,austin,139000,149000,144000,0,0,1
91,dell,Junior Data Scientist,95000 - 104000,austin,95000,104000,99500,1,0,0
92,kpmg,Senior Data Scientist,113000 - 123000,austin,113000,123000,118000,0,0,1
93,intel corporation,Senior Data Scientist,135000 - 144000,austin,135000,144000,139500,0,0,1
94,amazon.com,Senior Data Scientist,149000 - 161000,austin,149000,161000,155000,0,0,1
95,maxpoint,Senior Data Scientist,97000 - 104000,austin,97000,104000,100500,0,0,1
96,general motors,Senior Data Scientist,138000 - 148000,austin,138000,148000,143000,0,0,1
97,dell,Junior Data Scientist,95000 - 104000,austin,95000,104000,99500,1,0,0
98,wayfair,Data Scientist,94496,boston,94496,94496,94496,0,1,0
99,tripadvisor,Data Scientist,119000,boston,119000,119000,119000,0,1,0
100,truemotion,Data Scientist,106250,boston,106250,106250,106250,0,1,0
101,dataxu,Data Scientist,108269,boston,108269,108269,108269,0,1,0
102,paypal,Data Scientist,126348,boston,126348,126348,126348,0,1,0
103,tremor video,Data Scientist,87000 - 98000,boston,87000,98000,92500,0,1,0
104,adp,Data Scientist,70000 - 99000,boston,70000,99000,84500,0,1,0
105,ibm,Data Scientist,94000 - 102000,boston,94000,102000,98000,0,1,0
106,microsoft,Data Scientist,125000 - 135000,boston,125000,135000,130000,0,1,0
107,philips,Data Scientist,105000 - 114000,boston,105000,114000,109500,0,1,0
108,altisource,Data Scientist,114000 - 124000,boston,114000,124000,119000,0,1,0
109,vantiv,Data Scientist,114000 - 124000,boston,114000,124000,119000,0,1,0
110,autodesk,Data Scientist,91000 - 99000,boston,91000,99000,95000,0,1,0
111,brown university,Data Scientist,65000 - 70000,boston,65000,70000,67500,0,1,0
112,boston consulting group,Data Scientist,144000 - 155000,boston,144000,155000,149500,0,1,0
113,booz allen hamilton,Data Scientist,80000 - 86000,boston,80000,86000,83000,0,1,0
114,pwc,Data Scientist,104000 - 114000,boston,104000,114000,109000,0,1,0
115,cognizant technology solutions,Data Scientist,97000 - 106000,boston,97000,106000,101500,0,1,0
116,nielsen,Data Scientist,63000 - 69000,boston,63000,69000,66000,0,1,0
117,gallup,Data Scientist,89000 - 98000,boston,89000,98000,93500,0,1,0
118,ebay,Data Scientist,115000 - 124000,boston,115000,124000,119500,0,1,0
119,ciber,Data Scientist,107000 - 116000,boston,107000,116000,111500,0,1,0
120,nokia,Data Scientist,106000 - 114000,boston,106000,114000,110000,0,1,0
121,ge,Data Scientist,120000 - 130000,boston,120000,130000,125000,0,1,0
122,epsilon,Data Scientist,113000 - 124000,boston,113000,124000,118500,0,1,0
123,alliance data,Data Scientist,100000 - 109000,boston,100000,109000,104500,0,1,0
124,aptima,Data Scientist,98000 - 106000,boston,98000,106000,102000,0,1,0
125,ntt data,Data Scientist,107000 - 116000,boston,107000,116000,111500,0,1,0
126,blackbaud,Data Scientist,97000 - 106000,boston,97000,106000,101500,0,1,0
127,exponent,Data Scientist,90000 - 97000,boston,90000,97000,93500,0,1,0
128,sapient global markets,Data Scientist,121000 - 132000,boston,121000,132000,126500,0,1,0
129,godaddy,Data Scientist,98000 - 105000,boston,98000,105000,101500,0,1,0
130,viasat,Data Scientist,103000 - 110000,boston,103000,110000,106500,0,1,0
131,nvidia,Data Scientist,121000 - 132000,boston,121000,132000,126500,0,1,0
132,spotify,Data Scientist,134000 - 143000,boston,134000,143000,138500,0,1,0
133,novartis pharmaceuticals,Data Scientist,113000 - 121000,boston,113000,121000,117000,0,1,0
134,aci worldwide,Data Scientist,111000 - 119000,boston,111000,119000,115000,0,1,0
135,biogen,Senior Data Scientist,105000 - 168000,boston,105000,168000,136500,0,0,1
136,ibm,Entry Level Data Scientist,98000 - 108000,boston,98000,108000,103000,0,1,0
137,microsoft,Data Scientist II,116000 - 127000,boston,116000,127000,121500,0,1,0
138,ibm,Senior Data Scientist,127000 - 138000,boston,127000,138000,132500,0,0,1
139,microsoft,Senior Data Scientist,138000 - 152000,boston,138000,152000,145000,0,0,1
140,booz allen hamilton,Senior Data Scientist,90000 - 96000,boston,90000,96000,93000,0,0,1
141,think big,Senior Data Scientist,131000 - 140000,boston,131000,140000,135500,0,0,1
142,maxpoint,Senior Data Scientist,95000 - 103000,boston,95000,103000,99000,0,0,1
143,tiger analytics,Senior Data Scientist,106000 - 115000,boston,106000,115000,110500,0,0,1
144,akamai,Senior Data Scientist,137000 - 149000,boston,137000,149000,143000,0,0,1
145,yume,Senior Data Scientist,128000 - 138000,boston,128000,138000,133000,0,0,1
146,fis,Senior Data Scientist,111000 - 121000,boston,111000,121000,116000,0,0,1
147,amazon.com,Data Scientist Intern,107000 - 117000,boston,107000,117000,112000,1,0,0
148,viasat,Data Scientist Intern,83000 - 90000,boston,83000,90000,86500,1,0,0
149,think big,Principal Data Scientist,144000 - 157000,boston,144000,157000,150500,0,0,1
150,bny mellon,Principal Data Scientist,123000 - 131000,boston,123000,131000,127000,0,0,1
151,ibm,Senior Data Scientist,127000 - 137000,boston,127000,137000,132000,0,0,1
152,microsoft,Senior Data Scientist,139000 - 153000,boston,139000,153000,146000,0,0,1
153,booz allen hamilton,Senior Data Scientist,90000 - 98000,boston,90000,98000,94000,0,0,1
154,think big,Senior Data Scientist,129000 - 139000,boston,129000,139000,134000,0,0,1
155,maxpoint,Senior Data Scientist,95000 - 103000,boston,95000,103000,99000,0,0,1
156,tiger analytics,Senior Data Scientist,107000 - 115000,boston,107000,115000,111000,0,0,1
157,akamai,Senior Data Scientist,139000 - 150000,boston,139000,150000,144500,0,0,1
158,yume,Senior Data Scientist,128000 - 138000,boston,128000,138000,133000,0,0,1
159,fis,Senior Data Scientist,111000 - 121000,boston,111000,121000,116000,0,0,1
160,amazon.com,Data Scientist Intern,108000 - 117000,boston,108000,117000,112500,1,0,0
161,viasat,Data Scientist Intern,83000 - 90000,boston,83000,90000,86500,1,0,0
162,think big,Principal Data Scientist,144000 - 156000,boston,144000,156000,150000,0,0,1
163,bny mellon,Principal Data Scientist,123000 - 131000,boston,123000,131000,127000,0,0,1
164,ibm,Senior Data Scientist,125000 - 138000,boston,125000,138000,131500,0,0,1
165,microsoft,Senior Data Scientist,140000 - 151000,boston,140000,151000,145500,0,0,1
166,booz allen hamilton,Senior Data Scientist,90000 - 98000,boston,90000,98000,94000,0,0,1
167,think big,Senior Data Scientist,130000 - 139000,boston,130000,139000,134500,0,0,1
168,maxpoint,Senior Data Scientist,94000 - 102000,boston,94000,102000,98000,0,0,1
169,tiger analytics,Senior Data Scientist,105000 - 116000,boston,105000,116000,110500,0,0,1
170,akamai,Senior Data Scientist,138000 - 150000,boston,138000,150000,144000,0,0,1
171,yume,Senior Data Scientist,129000 - 138000,boston,129000,138000,133500,0,0,1
172,fis,Senior Data Scientist,113000 - 122000,boston,113000,122000,117500,0,0,1
173,amazon.com,Data Scientist Intern,106000 - 115000,boston,106000,115000,110500,1,0,0
174,viasat,Data Scientist Intern,84000 - 90000,boston,84000,90000,87000,1,0,0
175,think big,Principal Data Scientist,144000 - 157000,boston,144000,157000,150500,0,0,1
176,bny mellon,Principal Data Scientist,123000 - 133000,boston,123000,133000,128000,0,0,1
177,ibm,Senior Data Scientist,128000 - 138000,boston,128000,138000,133000,0,0,1
178,microsoft,Senior Data Scientist,140000 - 150000,boston,140000,150000,145000,0,0,1
179,booz allen hamilton,Senior Data Scientist,89000 - 97000,boston,89000,97000,93000,0,0,1
180,think big,Senior Data Scientist,130000 - 139000,boston,130000,139000,134500,0,0,1
181,maxpoint,Senior Data Scientist,95000 - 103000,boston,95000,103000,99000,0,0,1
182,tiger analytics,Senior Data Scientist,106000 - 115000,boston,106000,115000,110500,0,0,1
183,akamai,Senior Data Scientist,138000 - 150000,boston,138000,150000,144000,0,0,1
184,yume,Senior Data Scientist,128000 - 140000,boston,128000,140000,134000,0,0,1
185,fis,Senior Data Scientist,112000 - 120000,boston,112000,120000,116000,0,0,1
186,amazon.com,Data Scientist Intern,106000 - 115000,boston,106000,115000,110500,1,0,0
187,viasat,Data Scientist Intern,83000 - 91000,boston,83000,91000,87000,1,0,0
188,think big,Principal Data Scientist,143000 - 157000,boston,143000,157000,150000,0,0,1
189,bny mellon,Principal Data Scientist,121000 - 131000,boston,121000,131000,126000,0,0,1
190,state farm,Data Scientist,100000 - 110000,dallas,100000,110000,105000,0,1,0
191,epsilon,Data Scientist,160000 - 171000,dallas,160000,171000,165500,0,1,0
192,match,Data Scientist,79000 - 87000,dallas,79000,87000,83000,0,1,0
193,hudl,Data Scientist,87000 - 93000,dallas,87000,93000,90000,0,1,0
194,at&t,Data Scientist,92000 - 100000,dallas,92000,100000,96000,0,1,0
195,ibm,Data Scientist,103000 - 112000,dallas,103000,112000,107500,0,1,0
196,capital one,Data Scientist,105000 - 113000,dallas,105000,113000,109000,0,1,0
197,pwc,Data Scientist,97000 - 105000,dallas,97000,105000,101000,0,1,0
198,kpmg,Data Scientist,90000 - 98000,dallas,90000,98000,94000,0,1,0
199,gallup,Data Scientist,83000 - 89000,dallas,83000,89000,86000,0,1,0
200,verizon,Data Scientist,107000 - 114000,dallas,107000,114000,110500,0,1,0
201,hewlett packard enterprise | hpe,Data Scientist,93000 - 101000,dallas,93000,101000,97000,0,1,0
202,hewlett-packard,Data Scientist,97000 - 106000,dallas,97000,106000,101500,0,1,0
203,verizon wireless,Data Scientist,97000 - 106000,dallas,97000,106000,101500,0,1,0
204,lockheed martin,Data Scientist,94000 - 103000,dallas,94000,103000,98500,0,1,0
205,leidos,Data Scientist,85000 - 92000,dallas,85000,92000,88500,0,1,0
206,alliance data,Data Scientist,92000 - 101000,dallas,92000,101000,96500,0,1,0
207,citi,Data Scientist,92000 - 101000,dallas,92000,101000,96500,0,1,0
208,humana,Data Scientist,94000 - 102000,dallas,94000,102000,98000,0,1,0
209,infovision,Data Scientist,84000 - 90000,dallas,84000,90000,87000,0,1,0
210,toyota north america,Data Scientist,95000 - 104000,dallas,95000,104000,99500,0,1,0
211,argo data,Data Scientist,93000 - 100000,dallas,93000,100000,96500,0,1,0
212,kemper,Data Scientist,91000 - 100000,dallas,91000,100000,95500,0,1,0
213,ibm,Entry Level Data Scientist,90000 - 98000,dallas,90000,98000,94000,0,1,0
214,ibm,Senior Data Scientist,115000 - 125000,dallas,115000,125000,120000,0,0,1
215,kpmg,Senior Data Scientist,103000 - 111000,dallas,103000,111000,107000,0,0,1
216,capital one,Senior Data Scientist,117000 - 128000,dallas,117000,128000,122500,0,0,1
217,verizon,Senior Data Scientist,118000 - 128000,dallas,118000,128000,123000,0,0,1
218,hewlett packard enterprise | hpe,Senior Data Scientist,103000 - 112000,dallas,103000,112000,107500,0,0,1
219,at&t,Senior Data Scientist,119000 - 130000,dallas,119000,130000,124500,0,0,1
220,hewlett-packard,Senior Data Scientist,109000 - 120000,dallas,109000,120000,114500,0,0,1
221,alliance data,Senior Data Scientist,105000 - 114000,dallas,105000,114000,109500,0,0,1
222,expedia,Senior Data Scientist,130000 - 142000,dallas,130000,142000,136000,0,0,1
223,elevate credit,Senior Data Scientist,123000 - 134000,dallas,123000,134000,128500,0,0,1
224,raytheon,Senior Data Scientist,106000 - 112000,dallas,106000,112000,109000,0,0,1
225,mitre,Junior Data Scientist,86000 - 92000,dallas,86000,92000,89000,1,0,0
226,dell,Junior Data Scientist,87000 - 94000,dallas,87000,94000,90500,1,0,0
227,capital one,Principal Data Scientist,96000 - 105000,dallas,96000,105000,100500,0,0,1
228,at&t,Principal Data Scientist,132000 - 145000,dallas,132000,145000,138500,0,0,1
229,toyota north america,Data Scientist,95000 - 103000,dallas,95000,103000,99000,0,1,0
230,argo data,Data Scientist,93000 - 99000,dallas,93000,99000,96000,0,1,0
231,kemper,Data Scientist,92000 - 100000,dallas,92000,100000,96000,0,1,0
232,ibm,Entry Level Data Scientist,90000 - 97000,dallas,90000,97000,93500,0,1,0
233,ibm,Senior Data Scientist,116000 - 125000,dallas,116000,125000,120500,0,0,1
234,kpmg,Senior Data Scientist,102000 - 110000,dallas,102000,110000,106000,0,0,1
235,capital one,Senior Data Scientist,118000 - 127000,dallas,118000,127000,122500,0,0,1
236,verizon,Senior Data Scientist,119000 - 129000,dallas,119000,129000,124000,0,0,1
237,hewlett packard enterprise | hpe,Senior Data Scientist,105000 - 113000,dallas,105000,113000,109000,0,0,1
238,at&t,Senior Data Scientist,120000 - 130000,dallas,120000,130000,125000,0,0,1
239,hewlett-packard,Senior Data Scientist,109000 - 120000,dallas,109000,120000,114500,0,0,1
240,alliance data,Senior Data Scientist,105000 - 112000,dallas,105000,112000,108500,0,0,1
241,expedia,Senior Data Scientist,130000 - 142000,dallas,130000,142000,136000,0,0,1
242,elevate credit,Senior Data Scientist,123000 - 133000,dallas,123000,133000,128000,0,0,1
243,raytheon,Senior Data Scientist,106000 - 113000,dallas,106000,113000,109500,0,0,1
244,mitre,Junior Data Scientist,86000 - 92000,dallas,86000,92000,89000,1,0,0
245,dell,Junior Data Scientist,86000 - 94000,dallas,86000,94000,90000,1,0,0
246,capital one,Principal Data Scientist,97000 - 104000,dallas,97000,104000,100500,0,0,1
247,at&t,Principal Data Scientist,133000 - 144000,dallas,133000,144000,138500,0,0,1
248,toyota north america,Data Scientist,95000 - 103000,dallas,95000,103000,99000,0,1,0
249,argo data,Data Scientist,92000 - 100000,dallas,92000,100000,96000,0,1,0
250,kemper,Data Scientist,92000 - 100000,dallas,92000,100000,96000,0,1,0
251,ibm,Entry Level Data Scientist,92000 - 99000,dallas,92000,99000,95500,0,1,0
252,ibm,Senior Data Scientist,117000 - 126000,dallas,117000,126000,121500,0,0,1
253,kpmg,Senior Data Scientist,103000 - 112000,dallas,103000,112000,107500,0,0,1
254,capital one,Senior Data Scientist,117000 - 127000,dallas,117000,127000,122000,0,0,1
255,verizon,Senior Data Scientist,119000 - 128000,dallas,119000,128000,123500,0,0,1
256,hewlett packard enterprise | hpe,Senior Data Scientist,104000 - 112000,dallas,104000,112000,108000,0,0,1
257,at&t,Senior Data Scientist,119000 - 129000,dallas,119000,129000,124000,0,0,1
258,hewlett-packard,Senior Data Scientist,109000 - 119000,dallas,109000,119000,114000,0,0,1
259,alliance data,Senior Data Scientist,104000 - 113000,dallas,104000,113000,108500,0,0,1
260,expedia,Senior Data Scientist,130000 - 140000,dallas,130000,140000,135000,0,0,1
261,elevate credit,Senior Data Scientist,124000 - 133000,dallas,124000,133000,128500,0,0,1
262,raytheon,Senior Data Scientist,104000 - 112000,dallas,104000,112000,108000,0,0,1
263,mitre,Junior Data Scientist,86000 - 92000,dallas,86000,92000,89000,1,0,0
264,dell,Junior Data Scientist,85000 - 94000,dallas,85000,94000,89500,1,0,0
265,capital one,Principal Data Scientist,97000 - 105000,dallas,97000,105000,101000,0,0,1
266,at&t,Principal Data Scientist,134000 - 144000,dallas,134000,144000,139000,0,0,1
267,toyota north america,Data Scientist,95000 - 103000,dallas,95000,103000,99000,0,1,0
268,argo data,Data Scientist,92000 - 100000,dallas,92000,100000,96000,0,1,0
269,kemper,Data Scientist,92000 - 99000,dallas,92000,99000,95500,0,1,0
270,ibm,Entry Level Data Scientist,90000 - 98000,dallas,90000,98000,94000,0,1,0
271,ibm,Senior Data Scientist,115000 - 127000,dallas,115000,127000,121000,0,0,1
272,kpmg,Senior Data Scientist,102000 - 110000,dallas,102000,110000,106000,0,0,1
273,capital one,Senior Data Scientist,119000 - 127000,dallas,119000,127000,123000,0,0,1
274,verizon,Senior Data Scientist,119000 - 130000,dallas,119000,130000,124500,0,0,1
275,hewlett packard enterprise | hpe,Senior Data Scientist,103000 - 113000,dallas,103000,113000,108000,0,0,1
276,at&t,Senior Data Scientist,118000 - 130000,dallas,118000,130000,124000,0,0,1
277,hewlett-packard,Senior Data Scientist,110000 - 119000,dallas,110000,119000,114500,0,0,1
278,alliance data,Senior Data Scientist,105000 - 113000,dallas,105000,113000,109000,0,0,1
279,expedia,Senior Data Scientist,131000 - 142000,dallas,131000,142000,136500,0,0,1
280,elevate credit,Senior Data Scientist,125000 - 134000,dallas,125000,134000,129500,0,0,1
281,raytheon,Senior Data Scientist,104000 - 114000,dallas,104000,114000,109000,0,0,1
282,mitre,Junior Data Scientist,86000 - 94000,dallas,86000,94000,90000,1,0,0
283,dell,Junior Data Scientist,87000 - 94000,dallas,87000,94000,90500,1,0,0
284,capital one,Principal Data Scientist,96000 - 103000,dallas,96000,103000,99500,0,0,1
285,at&t,Principal Data Scientist,132000 - 143000,dallas,132000,143000,137500,0,0,1
286,toyota north america,Data Scientist,94000 - 102000,dallas,94000,102000,98000,0,1,0
287,argo data,Data Scientist,93000 - 100000,dallas,93000,100000,96500,0,1,0
288,kemper,Data Scientist,92000 - 100000,dallas,92000,100000,96000,0,1,0
289,ibm,Entry Level Data Scientist,90000 - 98000,dallas,90000,98000,94000,0,1,0
290,ibm,Senior Data Scientist,116000 - 125000,dallas,116000,125000,120500,0,0,1
291,kpmg,Senior Data Scientist,101000 - 111000,dallas,101000,111000,106000,0,0,1
